,Location,Climat_Koppen,Clusters_labels
0,Adelaide,a,03
1,Albany,b,07
2,Albury,a,00
3,AliceSprings,h,02
4,BadgerysCreek,a,01
5,Ballarat,b,06
6,Bendigo,b,05
7,Brisbane,a,04
8,Cairns,,11
9,Canberra,b,09
10,Cobar,h,02
11,CoffsHarbour,a,01
12,Dartmoor,b,06
13,Darwin,,11
14,GoldCoast,a,04
15,Hobart,b,06
16,Katherine,,11
17,Launceston,b,06
18,Melbourne,b,07
19,MelbourneAirport,b,05
20,Mildura,k,00
21,Moree,a,02
22,MountGambier,b,06
23,MountGinini,c,10
24,Newcastle,a,01
25,Nhil,k,03
26,NorahHead,a,01
27,NorfolkIsland,a,04
28,Nuriootpa,k,03
29,PearceRAAF,b,08
30,Penrith,a,01
31,Perth,b,08
32,PerthAirport,b,08
33,Portland,b,06
34,Richmond,a,01
35,Sale,b,05
36,SalmonGums,k,05
37,Sydney,a,01
38,SydneyAirport,a,01
39,Townsville,,11
40,Tuggeranong,b,09
41,Uluru,h,02
42,WaggaWagga,a,00
43,Walpole,b,07
44,Watsonia,b,05
45,Williamtown,a,01
46,Witchcliffe,b,07
47,Wollongong,b,01
48,Woomera,h,02
