,Location,classes,classes_ord
0,Adelaide,2,01
1,Albany,5,08
2,Albury,8,03
3,AliceSprings,7,02
4,BadgerysCreek,0,04
5,Ballarat,4,07
6,Bendigo,8,03
7,Brisbane,0,04
8,Cairns,6,00
9,Canberra,8,03
10,Cobar,2,01
11,CoffsHarbour,3,06
12,Dartmoor,5,08
13,Darwin,6,00
14,GoldCoast,3,06
15,Hobart,1,05
16,Katherine,6,00
17,Launceston,5,08
18,Melbourne,1,05
19,MelbourneAirport,1,05
20,Mildura,2,01
21,Moree,2,01
22,MountGambier,4,07
23,MountGinini,4,07
24,Newcastle,9,09
25,Nhil,8,03
26,NorahHead,3,06
27,NorfolkIsland,3,06
28,Nuriootpa,8,03
29,PearceRAAF,2,01
30,Penrith,0,04
31,Perth,2,01
32,PerthAirport,2,01
33,Portland,5,08
34,Richmond,0,04
35,Sale,5,08
36,SalmonGums,2,01
37,Sydney,1,05
38,SydneyAirport,1,05
39,Townsville,6,00
40,Tuggeranong,8,03
41,Uluru,7,02
42,WaggaWagga,8,03
43,Walpole,5,08
44,Watsonia,5,08
45,Williamtown,1,05
46,Witchcliffe,1,05
47,Wollongong,3,06
48,Woomera,7,02
